sid,longitude,latitude,stype,fwy,direc,abs_pm,state_pm
401471,-122.303164,37.82401,ML,948,N,0.82,.82
401472,-122.393067,37.700468,ML,101,N,427.737,25.55
401474,-122.165147,37.47483,ML,101,N,404.737,2.55
401475,-122.100556,37.654774,ML,880,S,27.707,17.48
401476,-121.99884,38.013608,ML,4,W,16.438,R16.77
401478,-122.261851,37.822927,ML,580,W,60.885,44.8
401480,-122.301971,37.99346,ML,80,W,20.933,7.6
401481,-122.262051,37.822748,ML,580,E,60.733,44.8
401482,-122.082484,37.897809,ML,24,W,12.828,8.48
401483,-122.251589,37.816343,ML,580,W,60.155,44.07
401484,-122.037802,37.865141,ML,680,S,42.858,R11.45
401485,-121.94895,38.019047,ML,4,E,19.434,R19.7
401486,-122.424609,37.731414,ML,280,N,53.071,3.11
401487,-121.966173,37.761391,ML,680,N,34.363,2.99
401488,-122.138165,38.204941,ML,680,S,69.698,11.56
401489,-121.916962,37.427486,ML,880,N,8.55,8.55
401495,-121.85898,37.255346,ML,85,S,5.23,5.23
401496,-122.071553,37.99585,ML,680,S,53.025,21.31
401501,-122.393392,37.700511,ML,101,S,427.773,25.55
401503,-122.30642,37.825278,ML,80,W,7.72,2.41
401507,-122.079539,37.412677,ML,101,N,398.327,48.69
401509,-122.313054,37.904465,ML,80,E,13.843,.51
401512,-122.47162,37.677847,ML,280,S,47.8,R25.26
401513,-122.296557,37.838814,ML,80,E,9.2,3.89
401515,-122.39602,37.61287,ML,101,S,421.273,19.05
401516,-122.406233,37.760031,ML,101,N,432.094,3.8
401517,-122.156797,37.703862,ML,880,N,32.357,22.13
401519,-122.050948,37.881497,ML,680,S,44.198,R12.79
401522,-122.060919,37.925437,ML,680,S,47.839,16.32
401523,-122.406933,37.651292,ML,101,S,424.003,21.78
401524,-122.307241,37.877407,ML,80,W,11.91,6.6
401526,-121.949271,38.019378,ML,4,W,19.368,R19.7
401529,-122.054221,37.589488,ML,880,N,22.527,12.3
401531,-121.812858,37.701058,ML,580,W,30.884,14.7
401534,-122.065278,37.407511,ML,101,N,397.467,47.83
401537,-122.04039,37.988174,ML,242,N,2.369,R2.11
401538,-121.917925,37.430587,ML,880,N,8.77,8.77
401539,-122.302202,37.826038,ML,80,W,7.97,2.66
401541,-121.901514,37.370203,ML,880,N,4.5,4.5
401542,-122.069159,37.906311,ML,680,N,46.382,14.89
401545,-122.03362,37.559198,ML,880,N,20.127,9.9
401546,-122.327415,37.821573,ML,80,E,6.53,1.22
401547,-122.338144,37.507109,ML,92,E,8.066,7.34
401548,-122.251805,37.816339,ML,580,E,60.003,44.07
401551,-122.319728,37.972158,ML,80,E,19.023,5.69
401555,-121.858984,37.255657,ML,85,N,5.23,5.23
401557,-122.033816,37.559063,ML,880,S,20.127,9.9
401558,-122.317348,37.91859,ML,80,E,14.873,1.54
401560,-121.907884,37.357526,ML,880,N,3.51,3.51
401561,-122.071623,37.614012,ML,880,N,24.477,14.25
401562,-122.303329,37.823922,ML,948,S,0.78,.78
401564,-121.812823,37.700802,ML,580,E,30.732,14.7
401566,-122.050662,37.881591,ML,680,N,44.163,R12.79
401567,-121.864838,37.279628,ML,87,N,1.73,1.73
401568,-121.998502,38.013247,ML,4,E,16.504,16.77
401571,-122.319898,37.972099,ML,80,W,19.023,5.69
401575,-122.31655,37.909564,ML,80,E,14.243,.91
401578,-121.634578,37.133642,ML,101,N,365.431,16.16
401579,-121.640223,37.140073,ML,101,S,366.007,16.7
401580,-121.935122,37.71698,ML,680,S,30.887,20.83
401581,-121.632802,37.13061,ML,101,N,365.201,15.93
401582,-121.929582,37.710859,ML,680,N,30.338,20.33
401583,-121.913886,37.484267,ML,680,N,11.406,1.48
401586,-121.639919,37.140251,ML,101,N,365.971,16.7
401587,-121.931606,37.713274,ML,680,N,30.538,20.53
401588,-121.944342,37.728651,ML,680,S,31.837,R21.78
401589,-121.589598,37.070428,ML,101,S,360.387,11.08
401590,-121.932068,37.713363,ML,680,S,30.587,20.53
401592,-121.589243,37.070515,ML,101,N,360.351,11.08
401593,-121.943953,37.72851,ML,680,N,31.788,R21.78
401594,-121.934662,37.716883,ML,680,N,30.838,20.83
401595,-122.712662,38.364505,ML,101,S,483.024,14.99
401596,-121.921633,37.697749,ML,680,S,29.357,19.3
401597,-121.869623,37.2874,ML,87,N,2.33,2.33
401598,-122.716069,38.385828,ML,101,N,485.212,16.51
401599,-122.7162,38.413712,ML,101,S,486.464,18.43
401601,-122.712467,38.368371,ML,101,S,483.294,15.26
401602,-122.715338,38.421215,ML,101,N,487.652,18.95
401603,-122.715906,38.413693,ML,101,N,487.132,18.43
401604,-122.716316,38.385827,ML,101,S,484.544,16.51
401605,-122.712405,38.364327,ML,101,N,483.682,14.98
401606,-121.869548,37.287298,ML,87,S,2.32,2.33
401608,-121.925529,37.706032,ML,680,N,29.938,R19.93
401609,-122.715784,38.420521,ML,101,S,486.934,18.9
401610,-122.275579,37.810554,ML,980,W,0.971,.98
401611,-121.940307,37.318919,ML,880,S,0.11,.11
401612,-122.038828,38.004852,ML,4,W,14.158,14.49
401613,-122.056527,37.592711,ML,880,N,22.777,12.55
401614,-122.056711,37.592635,ML,880,S,22.777,12.55
401615,-122.275345,37.810407,ML,980,E,0.971,.98
401616,-122.538644,38.069425,ML,101,N,459.513,18.24
401617,-122.038553,38.004605,ML,4,E,14.224,14.49
401621,-122.171625,37.713988,ML,880,S,33.427,23.2
401624,-122.513505,37.947043,ML,101,N,450.123,8.85
401629,-122.171416,37.714115,ML,880,N,33.427,23.2
401631,-122.381221,37.60296,ML,101,S,420.213,17.99
401634,-122.379526,37.601853,ML,101,S,420.093,17.87
401636,-122.226272,38.064357,ML,80,W,27.702,.23
401637,-121.923217,37.4562,ML,880,S,10.542,.04
401638,-122.226796,38.067752,ML,80,W,27.942,.47
401639,-121.968475,37.508312,ML,880,N,15.027,4.8
401642,-121.922218,37.451227,ML,880,S,10.21,10.21
401643,-121.923067,37.456422,ML,880,N,10.552,R.05
401646,-122.225635,38.058015,ML,80,W,27.264,13.931
401649,-122.182037,37.483737,ML,101,S,405.883,3.66
401651,-122.249762,37.508175,ML,101,S,410.093,7.87
401652,-122.249252,37.50798,ML,101,N,410.027,7.84
401653,-122.181671,37.483811,ML,101,N,405.837,3.65
401655,-121.858919,37.335596,ML,280,N,0.48,R.48
401657,-122.302794,37.825581,ML,80,E,7.93,2.62
401658,-121.734732,37.220762,ML,101,N,373.651,24.38
401660,-121.65189,37.152456,ML,101,N,367.041,17.77
401661,-121.708573,37.200753,ML,101,S,371.677,R22.37
401662,-121.695462,37.19253,ML,101,N,370.721,21.45
401663,-121.653989,37.154637,ML,101,N,367.231,17.96
401665,-121.5126,36.948171,ML,25,S,72.102,.03
401666,-121.521775,36.950307,ML,25,S,72.632,.56
401668,-121.654348,37.154503,ML,101,S,367.277,17.97
401669,-121.734981,37.220499,ML,101,S,373.687,24.38
401670,-121.708235,37.201089,ML,101,N,371.641,R22.37
401671,-122.294113,37.828559,ML,80,E,8.48,3.17
401673,-122.239337,38.044372,ML,80,W,25.999,12.666
401674,-121.5126,36.948171,ML,25,N,72.102,.03
401677,-121.527113,36.9526,ML,25,N,72.972,.9
401678,-121.527114,36.952601,ML,25,S,72.972,.9
715949,-118.181702,34.020076,OR,5,N,130.983,14.35
401679,-121.521774,36.950307,ML,25,N,72.632,.56
401680,-121.54368,36.962635,ML,25,N,74.172,2.1
401681,-122.17369,37.890212,ML,24,E,7.648,3.3
401682,-121.52944,36.954824,ML,25,N,73.172,1.1
401683,-122.156901,37.892591,ML,24,W,8.648,4.3
401684,-122.099019,37.897341,ML,24,E,11.858,7.51
401685,-121.54368,36.962635,ML,25,S,74.172,2.1
401686,-122.106837,37.688902,ML,238,S,14.823,15
401687,-122.194653,37.868707,ML,24,E,5.758,1.41
401688,-121.52944,36.954824,ML,25,S,73.172,1.1
401689,-122.177148,37.888027,ML,24,W,7.418,3.07
401691,-121.556793,37.003565,ML,101,S,355.427,6.12
401692,-122.10034,37.897512,ML,24,W,11.838,7.49
401693,-122.256176,38.137569,ML,37,W,19.023,9.53
401694,-122.253117,38.140282,ML,37,E,19.283,9.79
401695,-121.921149,37.701171,ML,580,E,36.672,20.64
401696,-122.256692,38.137096,ML,37,E,18.983,9.49
401697,-121.92765,37.708575,ML,680,N,30.148,20.14
401698,-122.296138,37.836566,ML,80,W,8.99,3.68
401699,-122.246347,38.141954,ML,37,W,19.693,10.2
401700,-122.253057,38.140335,ML,37,W,19.283,9.79
401701,-122.246347,38.14186,ML,37,E,19.693,10.2
401702,-122.27079,38.124517,ML,37,E,17.809,8.31
401703,-122.270656,38.124634,ML,37,W,17.819,8.32
401704,-122.277273,38.121697,ML,37,W,17.419,R7.92
401705,-121.929641,37.710472,ML,680,S,30.347,20.29
401706,-122.27723,38.121597,ML,37,E,17.419,R7.92
