usdid,fwdir,latitude,longitude,abs_pm
142,101N,36.989029999999985,-121.55781,354.4006022184416
143,101N,36.989525,-121.55771200000001,354.43522840785147
144,101N,36.99076,-121.55747,354.5215974922571
145,101N,36.991012999999995,-121.557422,354.5392776742089
146,101N,36.99150999999999,-121.55733000000001,354.5739903650415
147,101N,36.99168999999999,-121.5573,354.58653687633614
148,101N,36.992694,-121.5571,354.6567791351195
149,101N,36.993649999999995,-121.55691,354.72365938112296
150,101N,36.99463,-121.55673,354.792095560448
151,101N,36.995709999999995,-121.55649000000001,354.8678825604422
152,101N,36.995983999999986,-121.556442,354.8869985362437
153,101N,36.996245,-121.556396,354.90520967567716
154,101N,36.99743399999999,-121.556187,354.98816725007345
155,101N,36.997589999999995,-121.55616,354.99904829706304
156,101N,36.9979,-121.556101,355.02071325540953
157,101N,36.99848999999999,-121.55599000000001,355.0619359178525
158,101N,36.99931,-121.555909,355.11876847819724
159,101N,36.99951,-121.55589,355.1326268588534
160,101N,36.99978399999999,-121.555884,355.1515613245172
161,101N,36.99986299999999,-121.555882,355.1570208126867
162,101N,36.99996,-121.55588,355.1637237737088
163,101N,37.000099999999996,-121.555886,355.1734025034409
164,101N,37.00018,-121.55589,355.1789343745021
165,101N,37.000569999999996,-121.5559,355.2058864201419
166,101N,37.000723,-121.555909,355.21646935743536
167,101N,37.0009,-121.55592000000001,355.22871392935883
168,101N,37.00151999999999,-121.55599000000001,355.2717255759525
169,101N,37.002159999999996,-121.5561,355.31635992925686
170,101N,37.00233699999999,-121.556137,355.3287586915489
171,101N,37.00287,-121.55625,355.3661095449528
172,101N,37.00290199999999,-121.556259,355.3683756157491
173,101N,37.00299799999999,-121.556289,355.37521201254305
174,101N,37.003029999999995,-121.5563,355.377504797172
175,101N,37.00307999999999,-121.55631,355.3810032513433
176,101N,37.003119999999996,-121.55633,355.3839791663995
177,101N,37.00320099999999,-121.556352,355.3897058645992
178,101N,37.003409999999995,-121.55641,355.40449674843904
179,101N,37.003717,-121.556512,355.4264423635603
180,101N,37.003769999999996,-121.55653,355.4302366081536
181,101N,37.003887999999996,-121.556571,355.43869766762407
182,101N,37.004058,-121.55663,355.4508863282454
183,101N,37.004229999999986,-121.55669,355.46322290149794
